molecule,prec,MPI,OMP,Nuclear,Coulomb dens,Coulomb pot,XC dens,XC pot,XCFun,Total Fock
alkane_004,6,08,02,1.50747e+01,5.90095e+00,6.40798e+01,4.66312e+00,8.38074e-01,2.00948e+01,1.11365e+02
alkane_004,6,08,04,8.02713e+00,3.37401e+00,3.39506e+01,1.91014e+00,4.48760e-01,9.99506e+00,5.81179e+01
alkane_004,6,08,08,3.81204e+00,2.35677e+00,1.83165e+01,1.26443e+00,2.81831e-01,4.96028e+00,3.12972e+01
alkane_004,6,08,16,1.92645e+00,1.95066e+00,1.09052e+01,9.39187e-01,2.02561e-01,2.50482e+00,1.86858e+01
alkane_004,6,08,32,1.00272e+00,1.73421e+00,1.03721e+01,8.27355e-01,1.80836e-01,1.46486e+00,1.58352e+01
alkane_004,6,16,01,3.05154e+01,1.41135e+01,1.23306e+02,6.43576e+00,1.50795e+00,4.12742e+01,2.18099e+02
alkane_004,6,16,02,1.52948e+01,8.12965e+00,6.79771e+01,3.57771e+00,7.50833e-01,1.96048e+01,1.15965e+02
alkane_004,6,16,04,7.49182e+00,5.65211e+00,3.48350e+01,2.36550e+00,4.62266e-01,9.45194e+00,6.06812e+01
alkane_004,6,16,08,3.77046e+00,4.08175e+00,1.95980e+01,1.62795e+00,2.95757e-01,5.12513e+00,3.48240e+01
alkane_004,6,16,16,1.91387e+00,3.44482e+00,1.11832e+01,1.16531e+00,2.02034e-01,2.53241e+00,2.07005e+01
alkane_004,6,16,32,1.01258e+00,3.38582e+00,1.04660e+01,1.16610e+00,1.92257e-01,1.35008e+00,1.78139e+01
alkane_006,4,01,01,9.23447e+00,8.78353e+00,2.61268e+01,7.43428e+00,6.25482e-01,1.72800e+01,6.98561e+01
alkane_006,4,01,02,4.61731e+00,4.62151e+00,1.35752e+01,3.88286e+00,3.59530e-01,8.51692e+00,3.57986e+01
alkane_006,4,01,04,2.28828e+00,2.49838e+00,6.86118e+00,2.04941e+00,1.91243e-01,4.23551e+00,1.82793e+01
alkane_006,4,01,08,1.24272e+00,1.45377e+00,3.65561e+00,1.17927e+00,1.37207e-01,2.12819e+00,9.91329e+00
alkane_006,4,01,16,5.84631e-01,8.45185e-01,2.02888e+00,6.61354e-01,9.21193e-02,1.07359e+00,5.38318e+00
alkane_006,4,01,32,3.14543e-01,5.68153e-01,1.33419e+00,4.32797e-01,7.98994e-02,5.51443e-01,3.37115e+00
